attack,defence,n_clean_retained,paired_undefended_asr,paired_defended_asr,asr_reduction_pp,asr_reduction_ci_low_pp,asr_reduction_ci_high_pp,clean_retention,attack_detection_rate,attack_block_rate,reencode_rate,coverage_status,mechanism_note
Unicode homoglyph,Window CPT,151,0.8675496688741722,0.8609271523178808,0.6622516556291425,0.0,1.9867549668874165,0.967948717948718,0.0448717948717948,0.0448717948717948,0.0,NO CLEAR EFFECT,
Unicode invisible,Tokenizer translation,127,0.0,0.1338582677165354,-13.385826771653544,-19.68503937007874,-7.874015748031496,0.8141025641025641,0.0,0.0,0.0,HARMFUL,
Unicode invisible,Canonical reject,156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO BASE ATTACK,
Unicode invisible,Canonical replace,156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO BASE ATTACK,
Unicode invisible,Unicode sanitiser,156,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,NO BASE ATTACK,detect/repair
Unicode invisible,NFKC + confusables,156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO BASE ATTACK,
Unicode invisible,Global CPT,149,0.0,0.0,0.0,0.0,0.0,0.9551282051282052,0.0128205128205128,0.0128205128205128,0.0,NO BASE ATTACK,
Unicode invisible,Window CPT,151,0.0,0.0,0.0,0.0,0.0,0.967948717948718,0.032051282051282,0.032051282051282,0.0,NO BASE ATTACK,
Unicode reorder,Tokenizer translation,127,0.8661417322834646,0.7480314960629921,11.811023622047244,6.299212598425196,18.11023622047244,0.8141025641025641,0.0,0.0,0.0,PARTIAL,
Unicode reorder,Canonical reject,156,0.8846153846153846,0.8846153846153846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode reorder,Canonical replace,156,0.8846153846153846,0.8846153846153846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode reorder,Unicode sanitiser,156,0.8846153846153846,0.0,88.46153846153845,83.33333333333334,93.5897435897436,1.0,1.0,1.0,0.0,COMPLETE,detect+block
Unicode reorder,NFKC + confusables,156,0.8846153846153846,0.8846153846153846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode reorder,Global CPT,149,0.8859060402684564,0.8859060402684564,0.0,0.0,0.0,0.9551282051282052,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode reorder,Window CPT,151,0.8940397350993378,0.8940397350993378,0.0,0.0,0.0,0.967948717948718,0.032051282051282,0.032051282051282,0.0,NO CLEAR EFFECT,
