attack,defence,n_clean_retained,paired_undefended_asr,paired_defended_asr,asr_reduction_pp,asr_reduction_ci_low_pp,asr_reduction_ci_high_pp,clean_retention,attack_detection_rate,attack_block_rate,reencode_rate,coverage_status,mechanism_note
Unicode compatibility,Window CPT,151,92.05298013245033,92.05298013245033,0.0,0.0,0.0,96.7948717948718,3.2051282051282,3.2051282051282,0.0,NO CLEAR EFFECT,
Unicode homoglyph,Tokenizer translation,127,83.46456692913385,74.01574803149606,9.44881889763779,3.149606299212604,15.748031496062998,81.41025641025641,0.0,0.0,0.0,PARTIAL,
Unicode homoglyph,Canonical reject,156,85.8974358974359,85.8974358974359,0.0,0.0,0.0,100.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode homoglyph,Canonical replace,156,85.8974358974359,85.8974358974359,0.0,0.0,0.0,100.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode homoglyph,Unicode sanitiser,156,85.8974358974359,85.8974358974359,0.0,0.0,0.0,100.0,0.0,0.0,0.0,NO CLEAR EFFECT,
Unicode homoglyph,NFKC + confusables,156,85.8974358974359,0.0,85.8974358974359,80.12820512820514,91.02564102564102,100.0,100.0,0.0,0.0,COMPLETE,detect/repair
Unicode homoglyph,Global CPT,149,85.90604026845638,69.79865771812081,16.10738255033557,10.738255033557042,22.14765100671141,95.51282051282051,19.871794871794872,19.871794871794872,0.0,PARTIAL,
Unicode homoglyph,Window CPT,151,86.75496688741721,86.09271523178808,0.6622516556291425,0.0,1.9867549668874165,96.7948717948718,4.48717948717948,4.48717948717948,0.0,NO CLEAR EFFECT,
Unicode invisible,Tokenizer translation,127,0.0,13.385826771653539,-13.385826771653544,-19.68503937007874,-7.874015748031496,81.41025641025641,0.0,0.0,0.0,HARMFUL,
Unicode invisible,Canonical reject,156,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,NO BASE ATTACK,
Unicode invisible,Canonical replace,156,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,NO BASE ATTACK,
Unicode invisible,Unicode sanitiser,156,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,NO BASE ATTACK,detect/repair
Unicode invisible,NFKC + confusables,156,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,NO BASE ATTACK,
Unicode invisible,Global CPT,149,0.0,0.0,0.0,0.0,0.0,95.51282051282051,1.28205128205128,1.28205128205128,0.0,NO BASE ATTACK,
Unicode invisible,Window CPT,151,0.0,0.0,0.0,0.0,0.0,96.7948717948718,3.2051282051282,3.2051282051282,0.0,NO BASE ATTACK,
Unicode reorder,Tokenizer translation,127,86.61417322834646,74.80314960629921,11.811023622047244,6.299212598425196,18.11023622047244,81.41025641025641,0.0,0.0,0.0,PARTIAL,
